name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Виктор Беляевский,[],0,2,,,,,,
Ирина Бендер (Симакова),[],0,18,,,,3,,
Сергей Березин,['Владимир'],1,45,2,1,1,4,,
Сергей Беркут,"['Сборная ВлГУ', 'Владимир']",2,8,,,,,,2
Филипп Берняков,"['Шерлар', 'Мустанги', 'РеалФайв']",3,50,5,14,8,6,2,
Богдан Беседа,['МПУ'],1,4,,,,,,
Константин Беспалов,['Нон Стоп'],1,5,,2,2,,,
Сергей Бессонов,['Самарские Рыси'],1,23,,6,4,5,1,
Олег Бесценный,"['Флаинг Степс', 'Hucks', 'ОксиДискО']",3,153,16,19,7,1,,
Александр Битанов,['Самарские Рыси'],1,16,,2,2,2,,
Екатерина Блажко,['Белки'],1,62,7,6,1,15,1,
Екатерина Бобкова,[],0,5,,,,1,,
Dmitry Bogdanov,['Сокол'],1,89,11,42,27,4,,2
Мария Богданова,['Сани'],1,13,,,,,,
Александр Богословский,"['Вышка', 'Рампейдж']",2,36,,5,2,3,1,4
Антон Бойченко,['ЮПитер'],1,141,8,21,9,7,,5
Владислав Бойченко,"['Долгорукие', 'Вышка']",2,46,,8,1,2,,
Илья Большаков,['Биозон'],1,8,,,,2,,
Анна Бондарь,['СПбГУ'],1,7,,4,1,1,,
Николай Бондарь,"['Ми энд Май Манки', 'МГУ', 'Pu’er tea’M']",3,52,4,15,7,6,,
Ксения Борисевич,"['Куба', 'Алтимат Альянс']",2,19,,4,,4,,
Екатерина Борисова,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,17,,1,,,,
Алекс Боровков,"['Лигры', 'Долгорукие']",2,33,,3,1,3,,
Михаил Боровский,['МГУ'],1,5,,1,1,,,
Евгений Бородин,['Самарские Рыси'],1,7,2,1,,,,
Константин Бородич,[],0,10,,3,1,4,,
Максим Боткин,['АтомСвифт'],1,3,,,,,,
Артём Бочкарёв,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,18,2,2,1,2,,
Александр Братусь,['Нова'],1,24,5,6,3,2,,4
Иван Бритов,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,73,2,5,1,10,1,
Александр Буданов,['РэгДолл'],1,15,,1,,,,
Павел Будник,[],0,125,16,30,17,20,4,2
Роман Бузовари,[],0,2,2,,,,,
Антон Букашкин,['ФинУниверситет'],1,9,,,,1,,
Владислав Букилин,['Сборная ВлГУ'],1,15,2,1,,2,,
Станислав Бураев,['Катюша'],1,26,,3,1,2,,
Илья Буров,['Овод'],1,1,,,,,,
Максим Буряк,['Фри Флай'],1,21,,14,10,3,1,
Сергей Буряк,['Стрижи'],1,5,,,,,,
Анастасия Бутина,['Чили'],1,58,4,5,1,5,,
Алексей Бучнев,[],0,13,,2,2,3,,
Юля Буш,['Лемон Грасс'],1,39,,10,6,5,,
Полина Быкова,['Lightning Fast'],1,3,,1,,,,
Александра Быковская,"['Зорачкi', 'Шестое Солнце', 'Текила']",3,75,8,16,8,11,4,
Егор Быченок,['Good Vibes'],1,22,4,4,4,2,1,
Таня Бычкова,"['Брайт Вейв', 'РГГУ']",2,45,3,2,,6,5,
Михаил Варламов,"['Московские Фламингос', 'ОксиДискО']",2,7,,,,,,
Алина Василенко,['Рыбки'],1,2,,,,2,,
Александр Васильев,"['Фря Крю', 'Ми энд Май Манки', 'Лаки Грасс']",3,79,4,8,4,6,,
Александр Васильев,['Калуга'],1,5,,,,,,
Ольга Васильева,['Питер Старс'],1,14,,3,,1,,1
Полина Васильева,['Майс'],1,11,,,,1,,
Дмитрий Васин,['Хаски ГЛУ'],1,6,,,,,,
Алёна Вдовченко,"['СПбГУ', 'Элвис Пресли']",2,28,,7,4,4,,
Анна Вербицкая,"['Скай Про', 'Чили']",2,41,5,4,2,5,,
Анатолий Верещагин,"['ЮПитер', 'СПбГУ']",2,31,2,6,3,1,1,
Денис Верещагин,['Флаундерс'],1,14,,1,1,,,
Алёна Верчук,[],0,31,3,6,3,4,,
Нико Веселков,['Флаундерс'],1,2,,,,,,
Алексей Вечтомов,[],0,6,,,,1,,
Илья Викторов,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,70,,4,1,11,4,
Андрей Вилков,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,52,,3,,6,1,
Александр Виноградов,"['Ми энд Май Манки', 'МГУ']",2,37,2,5,4,4,,
Макс Виноградов,['Юнион'],1,4,,1,1,,,
Лиза Виценко,[],0,19,2,3,1,1,,1
Илья Вишницкий,"['Лаки Грасс', 'МГТУ им. Баумана', 'Лузерс']",3,101,13,23,12,19,1,
Давид Владимиров,['Мустанги'],1,9,,5,2,2,,
Диана Владыкина,['Фреза'],1,7,,2,1,1,,
Игорь Власов,['СПбГУ'],1,25,,3,1,2,,
Анастасия Власова,['Сборная ВлГУ'],1,18,,1,,3,,3
Павел Воинов,['Фри Флай'],1,17,,11,9,2,,
Юрий Войтенко,['Вышка'],1,43,,12,4,5,,
Юрий Волков,['Новгородские медведи'],1,37,3,6,2,3,,
Сергей Волохин,['Вышка'],1,20,,2,1,1,,1
Илья Воробьев,['Volga River'],1,19,,1,,1,1,3
Николай Воробьев,[],0,5,,,,1,,
Дарья Воробьева,['SQUEEZY'],1,1,,,,,,
Андрей Воронов,['ЮПитер'],1,32,5,3,2,,,
Тимофей Воронов,"['Рыбки', 'Т.А.К.']",2,5,,2,1,2,,
Ольга Воронцова,"['ПандаБанда', 'Алтимат Альянс']",2,95,4,19,10,15,4,
Диана Вотякова,['Самарские Рыси'],1,5,,1,,1,,
Galina Voyushina,['Овод'],1,37,3,12,9,1,1,
Кристина Высоцкая,['Чили'],1,17,,3,2,3,,
Роман Габрукевич,"['Фри Флай', 'ЮПитер', 'СПбГУ']",3,46,5,21,14,3,9,
Тимофей Гаврилов,[],0,1,,,,,,
Богдан Гай,['Магура'],1,33,2,13,10,,3,
Марат Галиев,['Самарские Рыси'],1,4,,1,,1,,
Виктор Гарбер,[],0,57,4,7,2,2,,
Руслан Гасанов,['Биозон'],1,35,,7,5,6,,
Борис Герн,"['МГТУ им. Баумана', 'Рампейдж', 'Долгорукие']",3,125,11,26,16,9,,
Иван Гигин,[],0,4,,2,2,,,
Ришат Гильманов,"['Ми энд Май Манки', 'Вышка']",2,78,3,17,5,5,3,
Тимур Гильманов,"['МГТУ им. Баумана', 'Ми энд Май Манки']",2,57,2,5,3,3,,1
