name,teams,teams_cnt,tournaments,countries,finals,first places,spirit of the game,MVP,tournaments organized
Ольга Костюкова,"['МГТУ им. Баумана', 'Бриллианс']",2,43,2,11,7,3,,4
Юлия Костюченко,"['Космик Гелз', 'ИТМО']",2,44,4,5,2,4,1,1
Егор Косячкин,['Позитрон'],1,1,,,,,,
Антон Котельников,['Флаундерс'],1,50,,5,3,1,4,
Александр Котин,['Овод'],1,38,2,10,7,,,2
Агнесса Котова,"['ИТМО', 'Космик Гелз']",2,21,2,2,1,5,,
Ольга Коченова,['Элвис Пресли'],1,180,22,103,62,11,23,
Даша Кочнева,['КАССΣОПΣЯ'],1,,,,,,,
Александр Кошара,"['Икс-Тайгерс', 'Грифоны']",2,6,2,,,2,,
Мария Кошманова,"['Шерлар', 'Саус Вест']",2,28,2,5,1,2,,
Максим Кравец,"['Скай Про', 'Тени']",2,30,3,6,4,2,,
Иван Кравченко,['Спэйс Джэм'],1,22,,7,3,3,,
Елена Крагель,['Феникс'],1,24,8,7,4,4,1,
Денис Краев,['Флаундерс'],1,21,,1,1,,1,
Вячеслав Крамков,"['Нижний Новгород', 'Вышка']",2,16,,2,1,1,,
Александр Красиков,['ЮПитер'],1,75,7,14,8,3,,
Алина Красникова,[],0,16,2,1,1,,,
Александра Красношеева,['Самарские Рыси'],1,16,,6,5,2,1,
Дмитрий Кривенков,"['Позитрон', 'ПандаБанда']",2,33,,5,3,1,,
Матвей Кругликов,['Ми энд Май Манки'],1,69,6,7,4,3,2,
Алексей Круглов,[],0,12,,1,,,,
Никита Круглов,['Стрижи'],1,8,,2,1,1,,
Владимир Круду,[],0,,,,,,,
Александра Кудимова,['Чили'],1,49,3,2,2,4,,
Александр Кудрявцев,['Биозон'],1,63,,3,1,7,1,
Андрей Кудрявцев,['Хаски'],1,6,,1,,1,,1
Никита Кудрявцев,['Спэйс Джэм'],1,20,2,4,3,4,,
Алексей Кудряшов,"['Новгородские медведи', 'НовГУ']",2,19,,7,2,,,
Ирина Кудухова,"['Лигры', 'Майс']",2,26,,5,2,3,,
Михаил Кузик,['Мэдкэпс'],1,28,2,4,2,,,
Александр Кузнецов,[],0,2,,,,,,
Алексей Кузнецов,['Спэйс Джэм'],1,68,5,15,6,5,3,
Владимир Кузнецов,[],0,50,,8,5,6,,
Вячеслав Кузнецов,"['TLT Ultimate', 'Хаски ГЛУ']",2,15,,1,,,,1
Евгений Кузнецов,['Катюша'],1,7,,2,1,,,
Михаил Кузнецов,"['Вышка', 'Юниорская сборная России ОД']",2,63,5,13,4,3,,
Александра Кузнецова,"['Лас Чикас', 'Банши']",2,10,,2,,,,
Ксения Кузнецова,['СорриБро'],1,33,,2,1,5,,
Джамиля Кукуева,"['Юнион', 'Саус Вест']",2,29,5,4,2,1,,
Юлия Кукушкина,['Рыбки'],1,1,,,,1,,
Ольга Кулагина,['Лемон Грасс'],1,14,,3,2,4,,
София Кулик,['Вышка'],1,10,,3,,1,,
Дмитрий Куликов,['Ми энд Май Манки'],1,95,3,10,6,6,,
Александра Куликова,[],0,42,,7,5,3,4,
Александр Кульчинский,"['МГТУ им. Баумана', 'Долгорукие']",2,57,2,8,4,3,,
Илья Кунаев,['АтомСвифт'],1,35,6,4,1,,2,
Александр Куницын,"['ПандаБанда', 'Ми энд Май Манки']",2,102,7,16,5,10,3,1
Артур Куприянов,['ИТМО'],1,2,,,,,,
Азамат Курбанбердыев,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,43,,4,1,5,,
Георгий Курбетьев,[],0,28,2,4,,3,,
Данил Кутов,['Долгорукие'],1,128,16,37,25,5,3,
Ольга Кухтина,[],0,3,,2,1,,,2
Александр Кухтинов,[],0,1,,,,,,
Никита Куцур,['Lynxes'],1,8,2,1,1,,,
Антон Кушнеревич,['ОксиДискО'],1,82,7,17,6,3,,
Илья Кытманов,"['Рампейдж', 'Долгорукие', 'МГТУ им. Баумана']",3,153,18,37,23,14,2,1
Дмитро Кіселик,['Вайлд Вест'],1,1,,,,,,
Александра Ларина,[],0,38,,,,,,38
Елена Латанова,['МГУ'],1,8,,1,,,,
Артём Лебедев,['Пионер'],1,4,,,,,,
Даниил Лебедев,['Самарские Рыси'],1,1,,,,1,,
Жека Лебедев,['Бивни'],1,134,17,15,5,15,3,18
Юрий Лебедев,[],0,55,,12,7,5,2,
Даша Лебедева,['Фоксес'],1,15,,,,3,2,
Дмитрий Левашов,['Старт'],1,13,,1,1,1,,
Александра Левен,['Саус Вест'],1,20,,2,2,3,,
Olga Levchenko,['Дикi Кралi'],1,14,7,1,,,,
Роман Ленин,['Магура'],1,31,2,13,8,2,,
Денис Леонов,"['Шерлар', 'ФинУниверситет']",2,24,,2,1,3,,
Елизавета Леонтьева,[],0,25,5,5,1,1,,
Дарья Лерман,['Сани'],1,6,,,,1,,
Юлия Летковская,"['Шестое Солнце', 'Зорачкi']",2,41,5,6,1,4,,
Vlad Lekhelt,['Флаинг Степс'],1,64,12,4,1,3,,
Сергей Лещинский,['ОксиДискО'],1,74,10,22,7,7,,
Nazar Leschuk,[],0,,,,,,,
Михаил Лизунов,['Шафл'],1,7,,,,1,,
Михаил Лимов,['Самарские Рыси'],1,39,2,10,7,7,,3
Роман Лисенков,['Феникс'],1,67,11,16,7,3,5,2
Евгений Литвин,['Рухавiк'],1,26,3,7,,4,,
Михаил Лобанов,['Сокол'],1,118,11,50,32,11,1,
Богдан Ловчук,['Импульс'],1,20,2,6,1,3,2,
Илья Ломоносов,"['Ми энд Май Манки', 'MIPT']",2,18,2,,,2,,1
Любовь Лопатина,['Элвис Пресли'],1,53,4,33,17,4,2,
Дмитрий Лосев,['ЮПитер'],1,89,5,18,8,5,,
Игорь Лукасевич,['E-Motion'],1,4,2,,,,,
Илья Лукин,['Вышка'],1,21,,3,1,3,,
Виктория Лукина,[],0,5,,,,,,
Игорь Лукьянов,['Флаундерс'],1,23,,2,1,1,,
Екатерина Луценко,"['Алтимат Альянс', 'Биозон', 'Сборная России МД']",3,64,5,8,4,10,,
Антон Любарский,"['Флаинг Степс', 'ОксиДискО', 'Скай Про']",3,92,9,15,7,10,,
Александра Лямина,"['Сборная ВлГУ', 'Гирс-Юнайтед']",2,32,,2,,3,2,
Анна Лямина,['Брайт Вейв'],1,25,,,,3,,
Дмитрий Магась,['МГУ'],1,7,,1,,1,,
Максим Магомедов,['Спинин'],1,6,2,1,1,,,
Константин Мазурин,"['СПбГУ', 'Тени']",2,63,6,8,3,7,1,
Ольга Мазурина,['Космик Гелз'],1,25,3,5,2,4,2,
Андрей Макаревич,['Норд Паззл'],1,5,,1,,1,,
Григорий Макаров,[],0,3,,,,,,
Дмитрий Макаров,['МГУ'],1,4,2,,,,,
Мэри Макарова,['Космик Гелз'],1,71,8,30,20,6,2,
Антон Макеенко,['Good Vibes'],1,16,3,3,2,1,,
Евгений Макин,['МГУ'],1,3,,2,1,,,
Евгений Макин,['МГУ'],1,17,,7,4,2,,
Глеб Максимов,"['СПбГУ', 'ЮПитер']",2,44,3,13,7,1,,
Анастасия Маликова,"['Вышка', 'Лемон Грасс', 'СорриБро']",3,65,9,23,9,4,,1
Илья Малинов,"['Нижний Новгород', 'НГТУ', 'РэгДолл']",3,84,4,16,5,5,2,
Денис Малков,['Шерлар'],1,6,,,,1,,
Степан Малькевич,['СПбГУ'],1,6,,1,1,2,,
Александр Малько,['Рухавiк'],1,38,3,6,2,3,,
Антон Мальков,"['Биозон', 'Бивни']",2,151,11,26,12,27,7,1
Илья Мальцев,['Фри Флай'],1,8,,2,,,1,
Мария Малюк,"['Фреза', 'Фингерс']",2,7,,,,1,,
Леонид Манатов,[],0,1,,,,,,
Мария Манушина,[],0,68,6,15,6,9,1,
Ирина Марамзина,['Космик Гелз'],1,57,6,12,4,8,,3
Николай Маринин,"['ЮПитер', 'Нижний Новгород']",2,128,6,32,14,5,1,
Юлия Мартынив,[],0,9,,,,2,,
Владимир Мархаюк,"['Нижний Новгород', 'РэгДолл']",2,6,,2,1,,,
Кирилл Масленников,"['ОксиДискО', 'Рокетс', 'Тени']",3,84,5,21,6,3,,
Михаил Маслов,[],0,12,,2,,,,
Ульяна Матвеева,[],0,36,,4,2,3,1,
Кирилл Матвиенко,[],0,1,,,,,,
Одик Махмудов,"['НовГУ', 'Новгородские медведи', 'АтомСвифт']",3,31,,7,1,,,3
Наталья Машьянова,['Космик Гелз'],1,96,18,50,32,12,2,
Вадим Медведев,"['Долгорукие', 'Бивни']",2,117,15,28,11,8,,
Роман Мелешко,[],0,4,2,,,1,,
Анастасия Мельник,[],0,8,2,4,,2,2,
Михаил Мельников,[],0,,,,,,,
Наталья Мельничук,['Феникс'],1,31,4,8,4,7,1,
Сергей Мельничук,['Феникс'],1,14,5,1,,2,,
Кирилл Метляев,[],0,99,4,25,12,5,3,
Денис Мигунов,"['РеалФайв', 'Мустанги']",2,171,12,59,30,11,,8
Юрий Мингалимов,"['ЮПитер', 'Тени', 'Аврора']",3,96,6,15,9,3,,
Ольга Минеева,['Банши'],1,54,3,22,11,8,,
Айгуль Миниахметова,[],0,1,,,,,,
Кузьма Минин,['Шафл'],1,16,,,,1,,
Клим Миняйчев,['Долгорукие'],1,47,5,6,3,2,,
Мария Мисюк,['Чили'],1,15,3,1,,1,,
Данил Михайлов,['Фри Флай'],1,7,,2,2,,,
Алина Михайлова,[],0,1,,,,,,1
Анастасия Михайловская,[],0,5,,1,1,1,,
Кирилл Михайлянц,[],0,32,,3,2,3,,
Максим Михальчик,[],0,25,2,7,1,,,
Дмитрий Мишин,['Нижний Новгород'],1,98,9,35,20,6,1,
Каролина Мкртчян,"['Спэйс Джэм', 'ВоГУ']",2,17,,,,3,,1
Алексей Моисеев,['Новгородские медведи'],1,3,,,,,,
Андрей Молибошко,['x3'],1,58,9,19,14,6,3,
Дмитрий Мордвинов,"['Флаинг Степс', 'LOL']",2,6,2,2,,,,
Артем Морозов,['Шерлар'],1,4,,,,1,,
Дмитрий Морозов,"['Вышка', 'Ми энд Май Манки']",2,8,,,,,,
Павел Морозов,['Рыбки'],1,4,,2,1,3,,1
Алёна Морозова,[],0,1,,,,,,
Аня Морозова,['Сани'],1,1,,,,,,
Олег Моуравов,['Овод'],1,1,,,,,,
Андрей Мочалин,[],0,5,,1,,1,,
Анатолий Мошков,"['Сани', 'Сочи']",2,54,,1,,1,1,1
Юля Мукина,"['Ре:Диски', 'Банши', 'Космик Гелз']",3,78,9,35,22,5,1,
Артем Муратов,['ИТМО'],1,35,2,7,3,5,,
Иван Мусатов,['Хаски ГЛУ'],1,4,,,,,,
Диана Мухаметгалина,['Бивни'],1,62,7,9,2,8,,5
Айк Мхитарян,"['ЮПитер', 'СПбПУ']",2,53,3,17,9,2,1,
Павел Мясников,['Сани'],1,11,,1,1,,,
Анастасия Мясникова,['Сани'],1,7,,,,,,
София Нагавкина,['ИТМО'],1,7,,2,1,1,,
Анатолий Назаров,['Сокол'],1,91,6,35,20,7,,
Анна Назарова,"['Pu’er tea’M', 'Бриллианс']",2,25,,2,,5,,1
Александр Наконечный,"['ЮПитер', 'СПбГУ']",2,22,2,7,4,2,,
Юлия Нанаева,"['Биозон', 'Вышка', 'Алтимат Альянс']",3,74,5,18,11,13,8,
Егор Наумов,"['Тени', 'M.U.C.']",2,157,21,37,18,5,5,
Александра Невзорова,[],0,1,,,,,,
Влад Недосеков,['Белки'],1,2,,,,,,
Роман Нестеров,"['Вышка', 'Сокол']",2,77,4,15,4,11,,
Гена Никитенко,[],0,1,,,,,,
Руслан Никитченко,['Рампейдж'],1,44,2,7,3,5,,
Тимофей Николаев,['АтомСвифт'],1,5,,,,,,
Екатерина Николаева,['Рыбки'],1,1,,,,1,,
Евгений Никольский,['Днепр'],1,16,,,,,,2
Анастасия Никоненко,"['Вышка', 'СорриБро', 'Бриллианс']",3,85,9,23,8,11,4,
Наталья Никулина,['Сани'],1,17,2,1,,1,,
Кирилл Новиков,['Вайлд Вест'],1,8,2,,,,,
Виктория Новикова,['Бивни'],1,10,,,,1,,
Кристина Новоторова,['Т.А.К.'],1,19,,1,1,,,
Владимир Носов,[],0,,,,,,,
Леночка Обрайен,"['Бивни', 'Бивни']",2,107,11,20,7,12,2,
Ирина Овсянникова,['Pu’er tea’M'],1,15,,2,1,5,,
Евгения Овсянова,['Дружина'],1,50,,7,2,10,,
Ольга Овсянова,['Дружина'],1,56,,10,5,10,2,
Елена Одинцова,[],0,34,2,8,3,4,,
Павел Окороков,"['МГТУ им. Баумана', 'Мустанги', 'РеалФайв']",3,61,3,20,9,2,,8
Никита Онищенко,[],0,3,,,,,,
Елена Онуфриюк,['Феникс'],1,46,9,17,10,5,3,
Влада Орел,['Gamble'],1,30,6,7,2,3,1,
Антон Орехов,['Флаундерс'],1,20,2,5,3,,,
Данила Орленко,"['Тени', 'ЮПитер']",2,39,4,7,3,2,,
Константин Орлов,['Старт'],1,20,2,7,7,3,1,
Даниил Осовский,['Спэйс Джэм'],1,16,,4,3,2,,
Максим Осовской,[],0,1,,,,,,
Кирилл Остапенко,"['МГУ', 'Pu’er tea’M', 'РеалФайв']",3,55,8,18,8,7,,
Владлена Павлищева,['Лемон Грасс'],1,114,9,18,8,10,1,
Илья Павлюченко,[],0,,,,,,,
Иннуш Павлюченко,"['Саус Вест', 'Юниорская сборная России ЖД', 'Сборная России МД']",3,56,7,21,10,5,2,
Дмитрий Панов,[],0,2,,,,,,
Светик Пантелеева,"['Саус Вест', 'МГУ']",2,63,7,16,10,9,1,
Андрей Паротькин,['Долгорукие'],1,100,8,22,12,10,2,
Светлана Паскевич,"['Алтимат Альянс', 'Лас Чикас', 'Биозон']",3,151,8,35,16,27,,7
Ирина Патрушева,"['Вышка', 'СорриБро', 'Бриллианс']",3,73,3,15,9,6,3,
Дарья Пацукова,"['МГТУ им. Баумана', 'Майс']",2,70,2,9,5,5,2,
Вероника Пейсахович,['Элвис Пресли'],1,62,4,37,23,3,,
Сергей Перепелкин,['Юнион'],1,12,,1,1,,,
Валерия Першина,['Саус Вест'],1,42,2,10,5,3,2,
Анастасия Пестова,"['Вышка', 'СорриБро']",2,90,6,25,9,11,2,
Данила Петров,['ОксиДискО'],1,61,6,25,9,12,1,
Дмитрий Петров,['Тени'],1,64,7,15,8,3,1,
Илларион Петров,['Рампейдж'],1,85,3,18,7,8,2,
Nikita Petrushin,"['Спэйс Джэм', 'ЮПитер']",2,60,3,16,9,7,2,
Мария Петухова,"['ПандаБанда', 'Алтимат Альянс']",2,84,4,15,7,13,7,1
Максим Платов,['Сани'],1,13,,,,,,
Владимир Плигос,"['Нижний Новгород', 'НГТУ', 'Авангард']",3,82,5,25,9,10,2,1
Никита Подгорный,['Стрижи'],1,29,,9,3,5,,
Владислав Поддубный,[],0,1,,1,1,,,
Иван Поддубный,['Фри Флай'],1,29,,12,8,2,,
Ульяна Подольская,['Элвис Пресли'],1,20,3,5,1,2,1,
Глеб Подорожный,['Сокол'],1,35,2,3,1,3,,
Антон Позинский,"['Флаинг Степс', 'Сборная России Мастерс']",2,69,6,10,5,3,,
Даниэль Ползик,"['ИТМО', 'ФТШ']",2,5,,1,1,,,
Александра Полозенко,"['ИТМО', 'Космик Гелз']",2,15,,6,1,3,,
Павел Полунин,['Рампейдж'],1,42,3,3,,7,,
Маргарита Полянская,"['Биозон', 'Смельчаки']",2,24,,4,2,4,,
Александр Пономарев,['Самарские Рыси'],1,2,,1,1,1,,
Влад Попов,['Уфимский Фрисби Клуб'],1,25,,1,,2,,
Юрий Попов,['Самарские Рыси'],1,9,,,,,,2
Николай Порватов,['Фря Крю'],1,62,,3,3,4,,2
Павел Порошин,['Шерлар'],1,10,,1,1,2,1,
Киря Посохов,['Старт'],1,5,,,,,,
Дарья Поспелова,['Вышка'],1,47,,9,3,4,,
Денис Постыка,['Шерлар'],1,1,,,,,,
Андрей Пржибельский,"['СПбГУ', 'ЮПитер']",2,19,,3,3,1,,
Елена Привалова,['Белки'],1,23,,4,1,4,,
Михаил Пригара,"['Белки', 'Рампейдж']",2,10,,5,3,1,,
Илья Приймак,['Лигры'],1,6,,1,1,,,1
Ольга Прилуцкая,['ИТМО'],1,4,,,,,,
Станислав Прилучный,[],0,26,,7,3,,,
Мария Прокофьева,['СПбГУКИ'],1,21,,6,1,,,
Андрей Пронин,[],0,14,,1,1,1,,
Никита Проскуряков,['Ми энд Май Манки'],1,91,13,26,12,7,1,
Анна Прядун,['МГТУ им. Баумана'],1,11,,3,1,,,
Елизавета Пудло,[],0,8,,1,,1,,1
Иван Пупин,['Сборная ВлГУ'],1,43,4,1,,5,,2
Александра Пустовая,['Космик Гелз'],1,175,20,115,77,17,4,
Анна Пустовая,['Космик Гелз'],1,173,20,106,65,21,5,
Роман Пушкарев,[],0,1,,,,,,
Владимир Пхакадзе,[],0,,,,,,,
Сергей Райнис,['Террикон'],1,9,2,2,1,2,1,
Федор Ратников,['Lynxes'],1,17,2,2,1,3,4,7
Иван Резник,"['Тени', 'Юниорская сборная России ОД']",2,41,7,9,6,2,1,
Анастасия Ремизова,['Саус Вест'],1,19,2,4,3,2,,
Мария Рештук,['Брайт Вейв'],1,4,,1,,1,,
Илья Ровда,['Новгородские медведи'],1,130,14,24,7,2,1,7
Мария Ровда,['Молодые'],1,30,3,8,3,4,,
Юрий Ровда,"['Флаинг Степс', 'Новгородские медведи']",2,218,19,31,12,6,1,18
Вероника Ровкина,['СПбГПМУ'],1,11,,2,,,,
Евгений Рогов,[],0,15,,,,2,,
Даниил Рогожкин,['Сборная ВлГУ'],1,1,,,,,,
Ульяна Рогожникова,"['Фингерс', 'Катюша']",2,15,,1,,4,,
Илья Родин,['Норд Паззл'],1,18,,4,3,2,1,
Гриша Рожков,[],0,,,,,,,
Дмитрий Рожков,['Пауки'],1,1,,,,,1,
Артём Розов,['Т.А.К.'],1,14,,2,2,1,,8
Алексей Романов,['Easy Frisbee Team'],1,5,,3,1,1,,
Сергей Романов,['Магура'],1,76,5,23,15,4,8,
Ольга Романова,['Космик Гелз'],1,68,9,33,18,15,,
Анна Романовская,['Шестое Солнце'],1,12,6,1,,2,,
Наталья Романчева,['Вышка'],1,21,2,6,3,4,1,
Марина Ромашкина,['Брайт Вейв'],1,27,,1,,5,,
Михаил Ростовцев,"['Новгородские медведи', 'НовГУ']",2,10,,3,,,,1
Александр Рудометкин,['Лаки Грасс'],1,75,13,26,12,7,3,
Всеволод Русинский,"['Питер Старс', 'Тени']",2,30,2,6,2,1,,2
Кирилл Руссу,['НГТУ'],1,6,,,,,,
Сергей Рыбак,[],0,13,2,3,,,,2
Андрей Рыбалко,[],0,35,2,7,4,3,,1
Максим Рыбин,['Шерлар'],1,7,,1,1,,,
Полина Рылькова,[],0,9,2,,,1,,
Александр Рябов,[],0,,,,,,,
Григорий Рязанцев,[],0,26,5,5,1,1,,
Василь Різник,['Импульс'],1,,,,,,,
Иван Савельев,[],0,9,2,2,,2,,
Юрий Савельев,['Самарские Рыси'],1,19,,3,2,4,1,2
Петя Савенков,['КАССΣОПΣЯ'],1,1,,,,,,
Александр Садовников,['Калуга'],1,17,,1,,2,,
Андрей Самаров,['FireDogs'],1,9,,3,,3,,
Татьяна Самарцева,"['Лемон Грасс', 'Фреш']",2,66,6,18,10,9,,
Дмитрий Самборский,['Фреза'],1,5,,2,,1,,
Даниил Самойлов,['ИТМО'],1,,,,,,,
Евгений Самотошин,"['Флаинг Степс', 'ИТМО', 'Самарские Рыси']",3,24,,2,1,2,,
Алексей Самсонов,"['Спорт і', 'Odessa Ultimate']",2,21,,2,1,1,,
Дамдин Сандаков,[],0,,,,,,,
Мария Сафонова,['Брайт Вейв'],1,38,2,,,1,,
Карина Свидерская,"['МГТУ им. Баумана', 'Лемон Грасс', 'Вышка']",3,81,5,22,11,10,1,
Даниил Свиридов,['Сокол'],1,38,2,11,5,2,1,
Екатерина Севостьянихина,['Банши'],1,20,,2,2,3,,
Александр Севрюгин,['Вышка'],1,16,,3,3,1,,
Сергей Севцов,[],0,70,10,11,3,4,3,3
Юрий Седов,['Флаинг Степс'],1,117,12,15,4,4,,
Екатерина Селезнева,"['Лемон Грасс', 'Майс', 'Sirocco Ultimate']",3,81,11,8,2,9,,
Илья Селивёрстов,['TLT Ultimate'],1,2,,,,,,
Александр Сергеев,"['Флаинг Степс', 'ОксиДискО', 'Тени']",3,93,8,16,5,9,,
Денис Сергеев,[],0,1,,,,,,
Яна Сергеева (Ананич),['Космик Гелз'],1,42,7,25,15,4,,
Анастасия Сергеева,['Сани'],1,8,,2,1,,,
Артём Сергейчик,[],0,56,6,6,2,2,1,1
Анна Серебрякова,"['Миднайт Кобрас', 'Бриллианс']",2,50,2,13,6,7,,2
Дмитрий Сероштан,['Икс-Тайгерс'],1,6,3,,,1,,
Софья Сидорова,['Вышка'],1,50,,12,3,4,,
Марина Сидунова,"['Юнион', 'МГТУ им. Баумана']",2,66,,13,7,8,,8
Ольга Сикорская,"['Пионер', 'Космик Гелз']",2,5,,1,,1,,
Семён Силаев,[],0,4,,,,,,
Илья Силенков,['Сани'],1,30,,3,2,2,,
Ася Силуянова,"['Банши', 'Лас Чикас']",2,36,,6,2,4,,
Сабина Сильчонок,"['Элвис Пресли', 'СПбПУ']",2,93,11,43,26,10,5,5
Мария Синяева,['Чили'],1,13,3,1,1,2,,
Іван Синяк,[],0,4,,1,1,,,
Виктория Сирик,"['Скай Про', 'Чили']",2,24,,1,,2,,2
Ульяна Сиротина,[],0,24,6,1,,4,,
Иван Ситнянский,[],0,11,,3,1,,,
Андрей Скалецкий,[],0,3,,,,,,
Алексей Скворцов,['Смельчаки'],1,9,,,,,,
Валерия Скрипак (Коннова),"['Бивни', 'МГТУ им. Баумана', 'Эрхарт']",3,51,5,9,4,7,,
Илья Скрябин,['Овод'],1,21,2,7,6,2,1,
Александр Слепухин,['Баффало'],1,22,5,2,1,1,,
Андрей Смельчаков,"['Биозон', 'Смельчаки', 'Долгорукие']",3,128,,21,11,17,,4
Александр Смирнов,['Шерлар'],1,3,,,,,,1
Алексей Смирнов,[],0,4,,,,,,2
Антон Смирнов,['Сани'],1,48,,1,,1,,
Евгений Смирнов,"['ГУ «Дубна»', 'Позитрон']",2,28,,2,1,1,1,
Никита Смирнов,"['ИТМО', 'ЮПитер']",2,41,2,7,3,2,,1
Николай Смирнов,['ЮПитер'],1,106,11,19,11,1,,
Евгений Соболев,"['FireDogs', 'Простоквашино', 'Бивни']",3,33,3,9,2,6,1,
Дмитрий Соколов,['Старт'],1,3,,,,,,
Евгений Соколов,['Новгородские медведи'],1,47,2,5,3,1,,4
Фёдор Соколов,['Спинин'],1,42,5,6,3,2,1,
Ксения Соколова,[],0,2,,,,1,,
Кеша Соловаров,['Easy Frisbee Team'],1,4,,1,,,,
Алексей Соловьев,['Йошкин кэтс'],1,27,2,1,1,4,,
Данил Соловьев,['Старт'],1,10,,1,1,1,,
Илья Соловьев,['Старт'],1,10,,,,1,,
Александр Соловьёв,[],0,,,,,,,
Алексей Соловьёв,[],0,3,,,,1,,
Екатерина Солодовникова,"['Бивни', 'Бивни', 'Бриллианс']",3,62,11,10,3,7,,
Александра Солоненко,['Sirocco Ultimate'],1,17,4,3,,1,,
Андрей Сопрунов,['Сокол'],1,67,7,19,11,5,5,
Настя Сорвачева,['Сани'],1,17,,1,,1,,
Светлана Сорокина,"['Биозон', 'Алтимат Альянс', 'Лас Чикас']",3,140,11,30,19,23,7,11
Евгения Сороковикова,"['Бриллианс', 'Лузерс']",2,42,7,7,1,8,,
Юрий Споденюк,[],0,21,4,5,1,1,3,1
Владимир Старицын,['Катюша'],1,6,,2,1,,,
Дмитрий Стародубов,[],0,2,,,,,,
Валерия Старостина,[],0,4,,1,,1,,
Вероника Стахова,"['Космик Гелз', 'Миднайт Кобрас']",2,47,6,18,7,5,2,
Tatiana St,[],0,16,6,2,,3,,
Екатерина Степанова,[],0,22,,2,1,,,
Сергей Стерлигов,['Майс'],1,31,,4,1,4,,
Лев Столпнер,['Тени'],1,2,,,,,,
Екатерина Стоякина,"['Лигры', 'Белки']",2,21,,2,1,1,,
Дмитрий Стрельчин,['Нова'],1,118,12,49,32,19,3,19
Алексей Стригин,['Сокол'],1,7,,2,1,,,
Элиза Строганова,['Брайт Вейв'],1,6,,,,1,,
Никита Студилов,['ЮПитер'],1,73,9,13,5,2,1,
Анна Стукалина,"['Саус Вест', 'Юниорская сборная России ЖД', 'Сборная России ЖД']",3,84,13,24,14,11,2,
Алексей Стысин,['Рампейдж'],1,11,,1,1,1,,
Антон Стычневский,[],0,24,2,5,3,3,1,
Фаик Сулейманов,"['Гирс-Юнайтед', 'Сборная ВлГУ']",2,43,,5,2,3,1,2
Алексей Сулимов,['Долгорукие'],1,129,17,40,22,6,,
Никита Суриков,['Вышка'],1,66,3,9,1,1,,
Кира Сурикова,"['Вышка', 'СорриБро', 'Бриллианс']",3,43,2,14,6,5,,1
Алексей Сурков,['Сборная ВлГУ'],1,11,,1,,1,,
Анастасия Сухачёва,['Брайт Вейв'],1,11,,,,,,
Александра Сучкова,['СПбГПМУ'],1,7,,,,1,,
Максим Сыроваткин,['Гринс'],1,21,3,1,,1,,
Анастасия Сыроежкина,['Шерлар'],1,3,,,,,,
Виталий Сытин,['Новгородские медведи'],1,83,5,16,7,2,1,
Настя Сычева,[],0,4,,,,1,,
Ринат Тагаев,[],0,7,,,,,,1
Денис Тайлаков,['Жара'],1,35,3,4,3,3,,5
Арсений Таликов,[],0,6,,,,,,
Александр Талипов,['Фреза'],1,40,,12,6,4,1,
Кирилл Танаков,['Хаски'],1,,,,,,,
Елена Танцева,"['Брайт Вейв', 'РГГУ']",2,16,,1,,,,
Роман Тараканов,['НГТУ'],1,3,,,,,,
Юрий Таран,"['Лигры', 'Белки']",2,17,,2,,1,,1
Вячеслав Таранец,['Лигры'],1,1,,,,,,
Алексей Тарасенко,[],0,55,12,6,3,4,1,
Елена Тарасова,"['Московские Фламингос', 'Вышка']",2,8,,2,1,1,1,
Даниил Татаренков,['ИТМО'],1,11,,1,1,,,
Екатерина Татаринова,['Бриллианс'],1,58,5,15,4,5,,
Анна Татищева,['Космик Гелз'],1,88,10,30,14,12,1,
Артём Теплов,['Питер Старс'],1,7,,2,,,,1
Антон Терехов,"['ОксиДискО', 'СПбГУ']",2,59,2,6,5,5,,
Алиса Тизик,"['Вышка', 'Лемон Грасс', 'Сборная России ЖД']",3,105,19,33,19,18,9,
Дмитрий Тимошенков,['ПандаБанда'],1,58,2,7,2,7,,
Алексей Титов,['Смельчаки'],1,3,,1,,,,
Артём Тишин,[],0,25,,10,5,4,3,
Максим Ткачук,[],0,2,,1,1,,,
Александр Толоченко,"['Бивни', 'Лаки Грасс', 'Сокол']",3,80,10,13,7,14,,
Пётр Томников,"['Фря Крю', 'Лаки Грасс', 'Рампейдж']",3,64,8,16,11,6,2,1
Ульяна Топоркова,['Банши'],1,56,4,21,12,3,2,1
Ксения Торганова,"['Саус Вест', 'Элвис Пресли', 'Чили']",3,18,2,5,1,1,,
Надежда Торосян,"['МГТУ им. Баумана', 'СорриБро', 'Бриллианс']",3,74,2,19,11,12,,
Константин Трофимов,['Самарские Рыси'],1,16,,3,2,1,,1
Максим Трофимов,[],0,6,,1,,,,
Екатерина Трояновская,['Easy Frisbee Team'],1,14,,4,2,5,1,
Анна Тубольцева,['Брайт Вейв'],1,11,,,,,,
Дмитрий Туманов,['Рыбки'],1,10,,3,2,2,,4
Леонид Туманов,['ЮПитер'],1,147,8,29,16,7,2,16
Антон Туманцев,['Фри Флай'],1,6,,3,1,,,
Андрей Турайкин,['Калуга'],1,8,,1,,1,,
Рустам Турдибаев,[],0,,,,,,,
Кирилл Туркин,['Овод'],1,5,,,,,1,
